№	Название	Копий	Вид низа	Основной эффект (низ)	Утиль (верх)	Описание
b09	Двойной протокол	1	постоянный	можешь сыграть ещё одно действие своего НИЖНЕГО приказа вместо одного действия ВЕРХНЕГО — в том числе повторить уже сыгранное	обнови обе открытые карты арсенала	Утиль сбрасывает обе открытые карты арсенала и выкладывает новые. Пока карта установлена, одно действие верхнего приказа можно обменять на ещё одно действие нижнего — даже на то, которое уже сыграно. Это размен, а не подарок: пользоваться необязательно.
b10	Параллельный контур	1	постоянный	можешь сыграть ещё одно действие своего НИЖНЕГО приказа вместо одного действия ВЕРХНЕГО — в том числе повторить уже сыгранное	СПЕЦ-действий до конца хода без предела	Утиль снимает предел СПЕЦ-действий до конца этого хода. Пока карта установлена, одно действие верхнего приказа можно обменять на ещё одно действие нижнего. Та же технология, что в парной карте, но с другой наградой за утиль — держать открытыми сразу обе копии всё равно не выйдет.
b22	Параллельные штабы	1	постоянный	два СПЕЦ-действия за ход, если в этот ход ты не сыграл карту БЕЗОПАСНОСТЬ	ДЕСАНТ: два войска разных родов на гекс без чужих войск	Утиль высаживает два войска разных родов на любой гекс, где нет чужих войск. Пока карта установлена, в ход, когда вы не разыграли БЕЗОПАСНОСТЬ, вам доступно два спец-действия вместо одного. Расширяет ход тому, кто готов идти без страховки приказа.
b23	Штабная коллегия	1	постоянный	два СПЕЦ-действия за ход, если в этот ход ты не сыграл карту БЕЗОПАСНОСТЬ	забери карту арсенала из руки противника	Утиль забирает у выбранного противника закрытую карту арсенала. Пока карта установлена, в ход без БЕЗОПАСНОСТИ вам доступно два спец-действия. Вторая копия той же технологии с другой наградой за утиль.
b24	Оперативный отдел	1	постоянный	два СПЕЦ-действия за ход, если в этот ход ты не сыграл карту БЕЗОПАСНОСТЬ	по 2 боеприпаса за каждое своё военное здание, не больше 6	Утиль приносит по два боеприпаса за каждое военное здание на поле, но не больше шести. Пока карта установлена, в ход без БЕЗОПАСНОСТИ вам доступно два спец-действия. Третья копия технологии — держать открытыми две одинаковые всё равно нельзя, поэтому копии разведены только утилем.
b11	Энергосбыт	1	постоянный	в Обновление получаешь монету за каждый кубик энергии на своих энергостанциях	по 2 монеты за каждое своё войско на поле, не больше 8	Утиль выдаёт по две монеты за каждое своё войско на поле, но не больше восьми. Пока карта установлена, в фазу Обновления вы получаете по 1 монете за каждый кубик энергии на своих энергостанциях. Чем больше энергии в резерве, тем стабильнее доход.
b12	Научный подлог	1	постоянный	можешь тратить келемий вместо обломков в действии Наука	противник сбрасывает карту арсенала из руки	Утиль заставляет противника сбросить карту арсенала из руки. Пока карта установлена, в действии Наука вы можете платить келемием вместо обломков. Развязывает науку от постоянной охоты за трофеями — но келемий равен победному очку, так что это обмен очков на темп.
b25	Второй контур	1	постоянный	второй выбранный гекс в Смене энергии не стоит надбавки	Смена энергии без надбавок	Утиль даёт Смену энергии, в которой надбавок нет вовсе. Пока карта установлена, второй гекс в Смене энергии обходится без надбавки — можно перекоммутировать сразу две точки за одно действие. Третий и следующие гексы идут по обычной надбавке: карта снимает одну ступень, а не отменяет правило.
b13	Трофейный склад	1	постоянный	в Возврат оставь 1 трофейный жетон НА ЭТОЙ КАРТЕ; если на ней уже лежал жетон — он возвращается владельцу	за 1 боеприпас перемести два своих войска	Утиль перебрасывает два твоих войска за один боеприпас. Пока карта установлена, в этап Возврата один трофейный жетон на выбор остаётся НА ЭТОЙ КАРТЕ вместо возврата владельцу. Если на ней в этот момент уже лежал жетон — он возвращается владельцу. Личный запас у каждого по четыре жетона рода, поэтому задержанный жетон противник не сможет выставить заново. Плата за это — задержанный трофей не превращается в обломок.
b14	Наводчик	1	постоянный	в Бою можешь выбрать целью гекс на расстоянии 2 вместо 1, если на твоём атакующем гексе есть авиация	1 боеприпас и один Бой	Утиль выдаёт боеприпас и тут же проводит Бой. Пока карта установлена, если на вашем атакующем гексе есть авиация, в бою можно выбрать целью гекс на расстоянии 2 вместо обычного 1. Продлевает руку авиации в перестрелке.
b15	Воздушный щит	1	постоянный	твоя авиация закрывает собой все твои жетоны на своём гексе от атак по ним	ЩИТ: авиация и вышка	Утиль накрывает щитом авиацию и вышку сразу. Пока карта установлена, ваша авиация закрывает собой все ваши жетоны на своём гексе — атаки по ним достаются ей первой. Надёжное укрытие для пехоты и техники под воздушным прикрытием.
b16	Лёгкий взлёт	1	постоянный	твоя авиабаза требует на одну энергию меньше для Снаряжения	ЩИТ: пехота и авиация	Утиль накрывает щитом пехоту и авиацию сразу. Пока карта установлена, ваша авиабаза требует на 1 энергию меньше для Сборки. Снижает цену выпуска новой авиации.
b26	Разгонная полоса	1	постоянный	твоя авиабаза требует на одну энергию меньше для Снаряжения	ЩИТ: пехота и техника	Утиль накрывает щитом пехоту и технику сразу. Пока карта установлена, ваша авиабаза требует на 1 энергию меньше для Сборки. Вторая копия «Лёгкого взлёта» с другой наградой за утиль: авиабаза стоит трёх кубиков энергии, и одной карты на всю колоду для неё мало.
b27	Абордаж	1	СПЕЦ	СПЕЦ: забери в свои трофеи чужой жетон с гекса, где стоит твоя пехота, и верни эту пехоту в свой запас	ЩИТ: техника и вышка	Утиль накрывает щитом технику и вышку сразу. Пока карта установлена, спец-действием пехота берёт чужой жетон прямо с гекса и уходит с ним — сама возвращаясь в запас. Размен своего отряда на чужой жетон без единого выстрела. Захват НЕ считается уничтожением: ответного боя он не вызывает и в счёт убийств не идёт.
b28	Обмен пленными	1	СПЕЦ	СПЕЦ: верни себе свои жетоны с трофейного места одного игрока, отдав ему за каждый РАЗНЫЙ ресурс: монету, боеприпас, обломок, келемий	ЩИТ: пехота и вышка	Утиль накрывает щитом пехоту и вышку сразу. Пока карта установлена, спец-действием можно выкупить своих у одного противника: за каждый жетон отдаётся РАЗНЫЙ ресурс — монета, боеприпас, обломок, келемий. Ресурсов четыре, значит больше четверых не выкупить, а последний обходится в келемий, то есть в победное очко.
b29	Десантные тропы	1	постоянный	твоя пехота может перепрыгнуть гекс с тайлом зарождения за одно перемещение	Рынок: обе половины активной карты	Утиль даёт Рынок, на котором берутся обе половины активной карты сделок. Пока карта установлена, ваша пехота перешагивает гекс зарождения за одно перемещение вместо того, чтобы огибать его. Встать на сам тайл по-прежнему нельзя. Открывает короткие дороги через середину поля.
b30	Келемиевый дождь	1	СПЕЦ	СПЕЦ: заплати 2 келемия, выбери гекс, верни ВСЕ стоящие на нём жетоны владельцам в запас и положи туда стартовый тайл зарождения	2 келемия	Утиль сразу приносит 2 келемия. Пока карта установлена, спец-действием за 2 келемия можно очистить любой гекс — все жетоны с него возвращаются владельцам в запас — и положить на него стартовый тайл зарождения. Единственный способ создать источник келемия там, где его не было, и единственный способ стереть чужую застройку, не воюя.
b31	Ядерный удар	1	СПЕЦ	СПЕЦ: заплати 4 боеприпаса, выбери гекс, положи на него тайл запретного гекса; все стоявшие там жетоны возвращаются владельцам в запас, и ты берёшь по 1 обломку за каждый ЧУЖОЙ жетон, но не больше 4	3 монеты и 1 боеприпас	Утиль сразу приносит 3 монеты и боеприпас. Пока карта установлена, спец-действием за 4 боеприпаса любой гекс превращается в запретный: все жетоны с него возвращаются владельцам в запас, а вы берёте по обломку за каждый чужой жетон, не больше четырёх. Пара к «Келемиевому дождю» и его противоположность: дождь платит очками и создаёт источник, удар платит боеприпасами и навсегда вычёркивает гекс из игры. Жетоны при этом НЕ уничтожаются — ни трофеев, ни ответного боя.
v01	Воздушное крыло	1	постоянный	1 ПО за каждую свою авиацию на гексе, где есть жетоны противника	4 монеты	Утиль сразу приносит 4 монеты. Установленная карта в конце партии приносит очко за каждый ваш жетон авиации, стоящий на гексе с жетонами противника. Платит не за то, что авиация у вас есть, а за то, что она висит над чужой головой.
v02	Танковый корпус	1	постоянный	1 ПО за каждую свою технику на гексе без других твоих войск и зданий	3 боеприпаса	Утиль сразу приносит 3 боеприпаса. Установленная карта приносит очко за каждый ваш жетон техники, стоящий на гексе, где нет ни одного другого вашего жетона. Одинокий танк в чужом тылу — дорого и опасно, потому и оплачено.
v03	Сторожевая сеть	1	постоянный	1 ПО за каждый гекс с твоей вышкой, где нет других твоих войск и зданий	Добыча двумя добытчиками	Утиль даёт Добычу двумя добытчиками. Установленная карта приносит очко за каждый гекс, где стоит ваша вышка и больше ничего вашего. Вышка неподвижна и ставится только там, где есть ваше здание, — значит выносить её в одиночку приходится заранее и осознанно.
v04	Второй эшелон	1	постоянный	1 ПО за каждую пару «добытчик и энергостанция одного уровня» на поле	2 карты задания	Утиль сразу приносит две карты задания. Установленная карта приносит очко за каждую пару из добытчика и энергостанции ОДНОГО уровня, стоящих у вас на поле. Заставляет строить экономику ровно, а не гнать один номер вперёд, пока второй отстаёт.
v05	Диверсионная группа	1	постоянный	1 ПО за каждую пару «келемий и боеприпас» в хранилище	верни на маркет сброшенную карту сделок на рынке	Утиль возвращает на маркет сброшенную карту сделок на рынке. Установленная карта приносит очко за каждую пару келемия и боеприпаса в вашем хранилище: считается по меньшему из двух. Платит за равновесие склада, а не за одну гору — а места в хранилище на всё сразу не хватает.
v06	Военная доктрина	1	постоянный	2 ПО, если у тебя есть жетон уничтожения ЦУ	забери жетон первого игрока и 1 монету у его владельца	Утиль забирает жетон первого игрока и монету у того, кто им владел. Установленная карта приносит 2 победных очка, если к концу партии у вас есть жетон уничтожения чужого ЦУ. Единственная карта колоды, которую нельзя выполнить, не штурмуя чужой штаб.
